title,description
AM,мопеды
A,мотоциклы
A1,мотоциклы с объемом двигателя до 125 м3 и мощностью до 11 кВт
B,"легковые автомобили и грузовые с массой менее 3,5 т, автобусы до 8 сидячих мест."
C,"грузовые автомобили массой более 3,5 т."
D,пассажирские автобусы (больше 8 мест без учета водителя)
BE,"транспортное средство категории «В» с общей массой не больше 3,5 т, а прицепа – больше 750 кг."
CE,"категория «С», прицеп тяжелее 750 кг."
DE,"категория «D», прицеп больше 750 кг."
F,трамваи
I,троллейбусы
